date,title,body
2005-02-04,jigブラウザデジタルコンテンツグランプリの経済産業大臣賞優秀賞受賞,"財団法人デジタルコンテンツ協会（DCAj）が経済産業省と共催で開催している「第19回デジタルコンテンツグランプリ」の経済産業大臣賞（サービス・システム創出部門）で『jigブラウザ』が優秀賞を受賞しました。
詳しくはこちらをご覧ください "
2005-02-07,P901i不具合修正,"P901iでキー操作の反応が鈍い問題を解消しました。
DoCoMoP901iの方はバージョンアップをお願いします。"
2005-02-10,jigモニター募集,"（株）jig.jpは、今後新しく提供する携帯向けサービスのテストや様々なアンケートにご協力いただくモニター会員を1,000名募集致します。詳しくはこちらをご覧ください"
2005-02-14,モニター募集終了,02/10から行っていたjig.jpモニターの募集を終了いたしました。登録していただいた方ありがとうございました。
2005-02-16,WebMoneyからのお知らせ,2005年2月23日(水)AM 3:00 ～ AM 6:00の間30分程度､WebMoneyのｼｽﾃﾑﾒﾝﾃﾅﾝｽのため､ｳｫﾚｯﾄ決済を含むWebMoneyPREMIUM関連､その他WebMoney決済ｻｰﾋﾞｽ全体が停止いたします｡
2005-02-16,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・一部テーブルレイアウトの修正
・divタグのインライン表示に対応
・一部metaタグによるページ移動が無効になっていた問題を修正
・一部PNG画像が表示できなかった問題を修正
・一部の色名を認識できなかった問題を修正
・HTMLファイルの読み込みサイズ制限を400KBから1MBに変更
(ただし分割位置は変更無し)"
2005-02-17,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

一部のフレーム分割されたページが表示できない不具合を修正"
2005-02-17,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

画像単体を表示するときに200KBの制限がかかってしまうバグを修正"
2005-02-17,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・左右に分かれるフレームのときは画面幅ぴったりに収めるレイアウトを使わないように変更
"
2005-02-17,サーバ側の修正,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・昨日のサーバアップデートでクリッカブルマップが正常に動作しなくなっていたのを修正"
2005-02-18,scriptと文字化けの件,"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・HTML中に「//」が含まれるサイトを表示できなくなっていたバグを修正
・フォーム入力で「～」等の文字が化けるバグを修正
"
2005-02-21,サーバ側の変更を行いました。(アプリのバージョンアップ不要),"サーバ側の変更を行いました。(アプリのバージョンアップ不要) 修正点は以下になります。

・一部のサイトが表示できなくなっていた不具合を修正"
2005-02-24,jigブラウザVer3.1.4リリース,"jigブラウザの最新版を公開しました。最新バージョンは3.1.4となっております。 DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。 

・AUで起動直後のホームが表示できないことがある不具合を修正
・背景色が正常に反映されない不具合を修正
"
